Mkt Al	Orig	Dest	Miles	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Ops/Week	Seats	Seats/ Dep	ASMs
AA	AEX	DFW	285	3	3	2	3	3	3	3	20	1300	65	370500
AA	AGS	CLT	140	4	4	4	5	4	5	5	31	1550	50	217000
AA	AGS	DCA	468	1	1	1	1	1	1	1	7	455	65	212940
AA	AGS	DFW	874	2	2	2	2	2	2	2	14	1064	76	929936
AA	ALB	CLT	645	3	3	3	3	3	3	3	21	2864	136.381	1847280
AA	ALB	DCA	318	3	3	3	3	3	2	3	20	1311	65.55	416898
AA	ALB	DFW	1435	1	0	0	1	1	1	0	4	600	150	861000
AA	ALB	MIA	1225	0	0	0	0	0	1	0	1	76	76	93100
AA	ALB	ORD	723	4	3	3	4	4	3	4	25	1823	72.92	1318029
AA	ALB	PHL	212	4	4	4	4	4	4	4	28	1400	50	296800
AA	ALO	ORD	234	2	1	2	2	2	2	2	13	845	65	197730
AA	AMA	DFW	313	6	6	5	7	6	6	7	43	3596	83.628	1125548
AA	ANC	DFW	3042	1	1	1	1	1	1	1	7	1372	196	4173624
AA	ART	PHL	287	2	2	2	2	2	2	2	14	700	50	200900
AA	ASE	DFW	701	2	2	2	2	2	2	2	14	910	65	637910
AA	ATL	AUS	813	0	0	0	0	0	0	1	1	172	172	139836
AA	ATL	CLT	227	4	4	4	5	4	4	5	30	2644	88.133	600188
AA	ATL	DCA	547	6	6	6	6	6	2	4	36	2714	75.389	1484558
AA	ATL	DFW	732	7	7	6	8	8	6	8	50	9156	183.12	6702192
AA	ATL	LAX	1946	1	1	1	1	1	1	1	7	1330	190	2588180
AA	ATL	LGA	761	6	6	6	6	6	3	5	38	2789	73.395	2122429
AA	ATL	MIA	595	5	5	5	5	5	5	5	35	4966	141.886	2954770
AA	ATL	ORD	606	4	3	3	4	4	4	4	26	2652	102	1607112
