Mkt Al,Orig,Dest,Miles,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Ops/Week,Seats,Seats/ Dep,ASMs
AA,CLT,BDL,643,4,3,3,5,4,4,5,28,"4,610",164.6,"2,964,230"
AA,CLT,BGI,"2,029",0,0,0,0,0,1,0,1,172,172.0,"348,988"
AA,CLT,BHM,352,6,5,6,6,6,4,6,39,"4,600",117.9,"1,619,200"
AA,CLT,BNA,329,7,7,7,9,7,7,9,53,"8,168",154.1,"2,687,272"
AA,CLT,BOS,727,8,7,7,8,7,7,8,52,"9,252",177.9,"6,726,204"
AA,CLT,BTR,676,3,3,3,3,3,2,3,20,"1,520",76.0,"1,027,520"
AA,CLT,BTV,760,1,1,1,1,1,1,1,7,532,76.0,"404,320"
AA,CLT,BUF,546,3,3,3,3,3,3,3,21,"3,692",175.8,"2,015,832"
AA,CLT,BWI,360,5,5,5,6,5,5,5,36,"6,294",174.8,"2,265,840"
AA,CLT,BZE,"1,299",0,0,0,0,0,1,0,1,172,172.0,"223,428"
AA,CLT,CAE,89,7,7,7,8,7,8,8,52,"2,782",53.5,"247,598"
AA,CLT,CAK,394,3,2,3,4,3,4,4,23,"1,682",73.1,"662,708"
AA,CLT,CHA,242,6,6,6,7,6,7,7,45,"2,250",50.0,"544,500"
AA,CLT,CHO,244,7,7,7,8,7,7,8,51,"2,576",50.5,"628,544"
AA,CLT,CHS,168,8,8,8,9,8,8,9,58,"6,760",116.6,"1,135,680"
AA,CLT,CID,742,2,2,2,2,2,1,2,13,"1,506",115.8,"1,117,452"
AA,CLT,CLE,430,5,5,5,6,5,5,6,37,"4,655",125.8,"2,001,650"
AA,CLT,CMH,346,5,5,5,6,5,6,6,38,"5,296",139.4,"1,832,416"
AA,CLT,CRW,220,4,3,4,4,4,4,4,27,"1,942",71.9,"427,240"
AA,CLT,CUN,"1,041",4,3,3,4,4,4,4,26,"4,940",190.0,"5,142,540"
AA,CLT,CUR,"1,753",0,0,0,0,0,1,0,1,172,172.0,"301,516"
AA,CLT,CVG,335,4,3,4,6,4,5,6,32,"3,668",114.6,"1,228,780"
AA,CLT,CZM,"1,076",0,0,0,0,0,1,0,1,172,172.0,"185,072"
AA,CLT,DAB,416,3,3,3,4,3,4,4,24,"2,498",104.1,"1,039,168"
AA,CLT,DAY,370,3,3,3,4,3,4,4,24,"1,747",72.8,"646,390"
AA,CLT,DCA,330,7,7,7,7,7,7,7,49,"7,196",146.9,"2,374,680"
AA,CLT,DEN,"1,338",5,4,4,5,5,3,5,31,"5,890",190.0,"7,880,820"
AA,CLT,DFW,937,10,10,9,10,10,10,10,69,"13,152",190.6,"12,323,424"
AA,CLT,DSM,815,3,3,3,3,3,3,3,21,"2,114",100.7,"1,722,910"
AA,CLT,DTW,500,5,5,5,7,6,4,7,39,"5,146",131.9,"2,573,000"
AA,CLT,ECP,438,3,3,3,3,3,3,3,21,"1,596",76.0,"699,048"
AA,CLT,ELH,717,0,0,0,0,0,1,0,1,65,65.0,"46,605"
AA,CLT,ERI,475,3,3,3,3,3,3,3,21,"1,206",57.4,"572,850"
AA,CLT,EVV,415,2,2,2,2,2,2,2,14,700,50.0,"290,500"
AA,CLT,EWN,221,5,5,5,6,5,6,6,38,"1,952",51.4,"431,392"
AA,CLT,EWR,528,6,6,6,6,6,5,6,41,"7,052",172.0,"3,723,456"
AA,CLT,EYW,736,4,4,4,4,4,4,4,28,"3,272",116.9,"2,408,192"
AA,CLT,FAY,118,6,6,6,6,6,6,6,42,"2,282",54.3,"269,276"
